Name,Category,Description
Basketball, Sports,"Basketball is a team sport in which two teams, most commonly of five players each, opposing one another on a rectangular court, compete with the primary objective of shooting a basketball."
Cricket, Sports,"Cricket is a bat-and-ball game played between two teams of eleven players each on a field at the centre of which is a 22-yard (20-metre) pitch with a wicket at each end, each comprising two bails balanced on three stumps."
Football, Sports,"Football is a family of team sports that involve, to varying degrees, kicking a ball to score a goal."
Badminton, Sports,Badminton is a racquet sport played using racquets to hit a shuttlecock across a net.
Tennis, Sports,Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams of two players each (doubles). Each player uses a tennis racket that is strung with cord to strike a hollow rubber ball covered with felt over or around a net and into the opponent's court.
Hockey, Sports,"Hockey is a term used to denote various types of both summer and winter team sports which originated on either an outdoor field, sheet of ice, or dry floor such as in a gymnasium."
Painting, Arts,"Painting is the practice of applying paint, pigment, color or other medium to a solid surface."
Singing, Arts,Singing is the act of creating musical sounds with the voice.
Dancing, Arts,"Dance is a performing art form consisting of sequences of movement, either improvised or purposefully selected."
Poetry, Arts,Poetry is a form of literature that uses aesthetic and often rhythmic[1][2][3] qualities of language